,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
0,A,5.0,D,T,0.0,a,A,1.0,c0,3.669168329250815,8.070319202858617,6.834656845064107,1169.0666666666666,60.0,181.27847619456062,1.6538009828668037,409.91226345450286,0.0,18.0,180.0,11.0,1
1,A,11.0,E,T,1.0,e,A,1.0,c0,2.6581622499224706,4.058712692975258,6.1200131145642205,876.42,130.0,256.96694768423896,3.2348215618344063,259.6595560712008,0.0,0.0,80.0,3.0,0
2,D,10.0,B,R,0.0,a,A,1.0,c0,5.437138074347961,34.948769804844275,9.145929570766931,1210.4066666666668,100.0,231.30165956063666,3.3574419679355216,637.3238206792232,0.0,0.0,100.0,6.0,0
3,C,11.0,B,R,0.0,a,A,1.0,c0,4.536484120840085,21.944065082450294,6.940557796855396,1677.2333333333331,130.0,256.8678578808635,3.1275444978167224,271.1389342395753,0.0,0.0,110.0,5.0,1
5,C,10.0,E,T,1.0,e,A,1.0,c0,4.180389699864894,-19.536492253800226,7.722069126885549,1037.7266666666667,100.0,230.3356426509037,0.5941158626873513,561.0165119735703,0.0,0.0,80.0,5.0,1
7,A,8.0,D,Y,0.0,c,A,0.0,c0,2.320307316307896,15.865608813158104,4.49592776499384,138.18666666666667,90.0,220.83174157152493,1.3529085852243323,35.82798226785198,29.0,0.0,80.0,18.303328937892843,0
8,A,11.0,E,R,1.0,e,A,1.0,c0,4.252141997934761,45.130557762692796,6.219891886640599,532.4933333333332,130.0,255.6760488352932,2.3224268269486923,252.20415239091687,0.0,0.0,106.0,5.0,1
10,A,8.0,E,O,1.0,e,A,1.0,c0,3.5946575956730733,19.47513194686428,6.875762163164738,821.4066666666665,90.0,221.15445788424077,1.974251541017088,406.5937022916912,0.0,0.0,88.0,5.0,1
11,F,10.0,E,P,1.0,f,A,0.0,c35,3.215138766352781,39.351662184159174,5.400487907315798,194.9,100.0,231.24056741578903,2.8515333034157804,353.3083861634582,0.0,0.0,80.0,6.0,1
12,A,10.0,D,O,0.0,a,A,0.0,c0,2.406495560799009,29.54255402665389,4.735975090092902,739.64,100.0,231.1147565501436,2.2849931905383225,62.37472456542306,0.0,0.0,80.0,3.0,0
13,A,8.0,E,X,1.0,e,A,1.0,c0,2.5753257825576155,27.7384121597366,4.996654884392696,1953.94,90.0,220.61525525712563,1.85208390607144,287.4528781156,0.0,0.0,80.0,4.0,0
14,A,2.0,E,O,1.0,e,A,1.0,c2,2.4914671858406763,12.273940578311649,5.417425217310467,3524.106666666666,30.0,110.00331422385344,0.2840533172956665,401.3832089956338,0.0,0.0,80.0,3.0,0
15,A,8.0,E,Y,1.0,e,A,1.0,c0,3.2920632714508717,8.484801702508534,6.234967904043753,1035.62,90.0,222.11958541587487,1.5061290902834077,294.40151733524283,22.0,0.0,80.0,6.0,1
16,A,10.0,E,R,1.0,e,A,1.0,c0,3.816987914184669,39.84769062902463,6.178891165006127,1171.3066666666666,100.0,232.3948813108385,3.888801441610995,13.095098457320034,0.0,0.0,90.0,4.0,1
17,F,8.0,E,W,1.0,e,B,1.0,c0,2.98076225293322,36.60791619672587,4.475714539576099,987.88,90.0,220.9636333425959,1.2042049967246542,263.5594440752942,0.0,0.0,80.0,2.0,0
18,A,11.0,E,Y,1.0,e,A,1.0,c0,3.5946575956730733,19.32285068180516,7.218785264109464,1694.68,130.0,256.8347206960203,2.8719903645131515,450.9998890949047,0.0,0.0,100.0,6.0,0
